symbol,side,entry_time,entry_price,quantity,score,atr,strategy,option_signal,trade_identity,underlying_symbol,strike,option_type,entry_reason,exit_time,exit_price,exit_reason,pnl,estimated_charges,net_pnl,partial_exit_count,partial_exit_events,underlying_close_at_entry
TRENT.NS,BUY,2026-03-04,3756.800048828125,3,0.12636246781302343,104.73573521205357,,,TRENT.NS,,,,,2026-03-05,3738.0160485839842,TRAILING_STOP,-56.35200073242231,18.343371365133656,-74.69537209755597,0,[],
GRASIM.NS,BUY,2026-03-04,2683.199951171875,5,0.096831845670814,63.978567940848215,,,GRASIM.NS,,,,,2026-03-05,2669.7839514160155,TRAILING_STOP,-67.07999877929751,21.835486101443905,-88.91548488074142,0,[],
TRENT.NS,BUY,2026-03-05,3790.89990234375,3,0.16128629520646484,103.00001743861607,,,TRENT.NS,,,,,2026-03-06,3734.0364038085936,STOP_LOSS,-170.5904956054692,18.36863469676604,-188.95913030223522,0,[],
GRASIM.NS,BUY,2026-03-05,2724.10009765625,4,0.028016003399443594,66.99285016741071,,,GRASIM.NS,,,,,2026-03-06,2701.5,TRAILING_STOP,-90.400390625,17.69005368908203,-108.09044431408203,0,[],
TRENT.NS,BUY,2026-03-06,3722.800048828125,3,0.16601300615317952,103.664306640625,,,TRENT.NS,,,,,2026-03-09,3608.89990234375,STOP_LOSS,-341.700439453125,17.822354432570805,-359.5227938856958,0,[],
ICICIBANK.NS,BUY,2026-03-06,1313.4000244140625,13,0.12364892709611554,24.314287458147323,,,ICICIBANK.NS,,,,,2026-03-09,1272.699951171875,STOP_LOSS,-529.1009521484375,27.23840181307007,-556.3393539615075,0,[],
TRENT.NS,BUY,2026-03-09,3689.39990234375,3,0.1662909164721813,107.04288155691964,,,TRENT.NS,,,,,2026-03-10,3749.89990234375,TARGET,181.5,18.308406352353515,163.19159364764647,0,[],
ICICIBANK.NS,BUY,2026-03-09,1278.4000244140625,11,0.15294748118829854,27.757149832589285,,,ICICIBANK.NS,,,,,2026-03-10,1298.8544248046876,TARGET,224.99840429687606,23.254291579071523,201.74411271780454,0,[],
SBIN.NS,BUY,2026-03-10,1112.199951171875,12,0.14494553157161402,26.549996512276785,,,SBIN.NS,,,,,2026-03-11,1095.5169519042968,STOP_LOSS,-200.1959912109387,21.55645903518208,-221.7524502461208,0,[],
BAJFINANCE.NS,BUY,2026-03-10,939.7999877929688,13,0.06810597133939103,23.889290945870535,,,BAJFINANCE.NS,,,,,2026-03-11,925.7029879760742,STOP_LOSS,-183.26099761962973,19.732953512399313,-202.99395113202905,0,[],
